NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price,total_population
ZCTA5 06390,,,,6.0,5.0,,
ZCTA5 10001,,,,8119.0,7560.0,,
ZCTA5 10002,,,,35969.0,13208.0,,
ZCTA5 10003,,,,12056.0,16374.0,,
ZCTA5 10004,,,,823.0,1269.0,,
ZCTA5 10005,,,,1942.0,3289.0,,
ZCTA5 10006,,,,1001.0,1000.0,,
ZCTA5 10007,,,,1889.0,2610.0,,
ZCTA5 10009,,,,17804.0,17212.0,,
ZCTA5 10010,,,,8760.0,10434.0,,
ZCTA5 10011,,,,12686.0,17385.0,,
ZCTA5 10012,,,,6632.0,8048.0,,
ZCTA5 10013,,,,9822.0,8392.0,,
ZCTA5 10014,,,,5551.0,11659.0,,
ZCTA5 10016,,,,14818.0,19150.0,,
ZCTA5 10017,,,,5378.0,6433.0,,
ZCTA5 10018,,,,4206.0,2759.0,,
ZCTA5 10019,,,,15920.0,14379.0,,
ZCTA5 10020,,,,0.0,0.0,,
ZCTA5 10021,,,,9176.0,12740.0,,
ZCTA5 10022,,,,7188.0,10587.0,,
ZCTA5 10023,,,,16556.0,17062.0,,
ZCTA5 10024,,,,11816.0,16823.0,,
ZCTA5 10025,,,,27960.0,19997.0,,
ZCTA5 10026,,,,10732.0,6531.0,,
ZCTA5 10027,,,,18512.0,9938.0,,
ZCTA5 10028,,,,10264.0,15031.0,,
ZCTA5 10029,,,,23916.0,9330.0,,
ZCTA5 10030,,,,8063.0,4103.0,,
ZCTA5 10031,,,,25082.0,9242.0,,
ZCTA5 10032,,,,30723.0,9445.0,,
ZCTA5 10033,,,,28732.0,9821.0,,
ZCTA5 10034,,,,20145.0,6253.0,,
ZCTA5 10035,,,,11078.0,4258.0,,
ZCTA5 10036,,,,10979.0,9736.0,,
ZCTA5 10037,,,,4514.0,3170.0,,
ZCTA5 10038,,,,8059.0,6357.0,,
ZCTA5 10039,,,,7850.0,3260.0,,
ZCTA5 10040,,,,23881.0,7329.0,,
ZCTA5 10044,,,,6733.0,2227.0,,
ZCTA5 10065,,,,7541.0,9544.0,,
ZCTA5 10069,,,,2174.0,1822.0,,
ZCTA5 10075,,,,6259.0,6436.0,,
ZCTA5 10103,,,,0.0,0.0,,
ZCTA5 10110,,,,0.0,0.0,,
ZCTA5 10111,,,,0.0,0.0,,
ZCTA5 10112,,,,0.0,0.0,,
ZCTA5 10115,,,,0.0,0.0,,
ZCTA5 10119,,,,0.0,0.0,,
ZCTA5 10128,,,,14882.0,17473.0,,
ZCTA5 10152,,,,0.0,0.0,,
ZCTA5 10153,,,,0.0,0.0,,
ZCTA5 10154,,,,0.0,0.0,,
ZCTA5 10162,,,,301.0,403.0,,
ZCTA5 10165,,,,0.0,0.0,,
