NAME,median_age,white_non-hispanic,household_income,family_income,nonfamily_households_income,married-couple_families_income,foreign_born_not_a_us_citizen,bachelors,graduate,gross_rent_media_price
ZCTA5 06390,,,,,,,0.0,55.0,39.0,
ZCTA5 10001,,,,,,,2633.0,5705.0,4305.0,
ZCTA5 10002,,,,,,,15332.0,11687.0,5527.0,
ZCTA5 10003,,,,,,,5617.0,16443.0,13696.0,
ZCTA5 10004,,,,,,,343.0,932.0,671.0,
ZCTA5 10005,,,,,,,1100.0,1652.0,1486.0,
ZCTA5 10006,,,,,,,556.0,971.0,761.0,
ZCTA5 10007,,,,,,,1067.0,1688.0,1734.0,
ZCTA5 10009,,,,,,,7782.0,15946.0,10056.0,
ZCTA5 10010,,,,,,,3128.0,9215.0,8155.0,
ZCTA5 10011,,,,,,,5038.0,16756.0,15752.0,
ZCTA5 10012,,,,,,,3086.0,8289.0,6115.0,
ZCTA5 10013,,,,,,,4220.0,5555.0,4451.0,
ZCTA5 10014,,,,,,,2928.0,11546.0,9852.0,
ZCTA5 10016,,,,,,,7164.0,18284.0,15103.0,
ZCTA5 10017,,,,,,,2587.0,5729.0,4645.0,
ZCTA5 10018,,,,,,,1240.0,1323.0,1198.0,
ZCTA5 10019,,,,,,,6896.0,12489.0,11012.0,
ZCTA5 10020,,,,,,,0.0,0.0,0.0,
ZCTA5 10021,,,,,,,3848.0,13592.0,13875.0,
ZCTA5 10022,,,,,,,3560.0,10446.0,8992.0,
ZCTA5 10023,,,,,,,6702.0,16170.0,22209.0,
ZCTA5 10024,,,,,,,5982.0,15922.0,20616.0,
ZCTA5 10025,,,,,,,12258.0,20329.0,26942.0,
ZCTA5 10026,,,,,,,4662.0,5307.0,4394.0,
ZCTA5 10027,,,,,,,9307.0,7020.0,8929.0,
ZCTA5 10028,,,,,,,4168.0,13777.0,15552.0,
ZCTA5 10029,,,,,,,12683.0,7052.0,5494.0,
ZCTA5 10030,,,,,,,4794.0,3204.0,1725.0,
ZCTA5 10031,,,,,,,13913.0,6957.0,4131.0,
ZCTA5 10032,,,,,,,18445.0,5453.0,3859.0,
ZCTA5 10033,,,,,,,15107.0,6887.0,5217.0,
ZCTA5 10034,,,,,,,11816.0,5758.0,3556.0,
ZCTA5 10035,,,,,,,5816.0,3094.0,1837.0,
ZCTA5 10036,,,,,,,4218.0,6651.0,5176.0,
ZCTA5 10037,,,,,,,1267.0,2496.0,1913.0,
ZCTA5 10038,,,,,,,2789.0,3683.0,3236.0,
ZCTA5 10039,,,,,,,3622.0,2455.0,1414.0,
ZCTA5 10040,,,,,,,10715.0,5985.0,4339.0,
ZCTA5 10044,,,,,,,3427.0,1810.0,3016.0,
ZCTA5 10065,,,,,,,3426.0,10272.0,10349.0,
ZCTA5 10069,,,,,,,761.0,2057.0,1769.0,
ZCTA5 10075,,,,,,,2169.0,8774.0,7940.0,
ZCTA5 10103,,,,,,,0.0,0.0,0.0,
ZCTA5 10110,,,,,,,0.0,0.0,2.0,
ZCTA5 10111,,,,,,,0.0,0.0,0.0,
ZCTA5 10112,,,,,,,0.0,0.0,0.0,
ZCTA5 10115,,,,,,,0.0,0.0,0.0,
ZCTA5 10119,,,,,,,0.0,0.0,0.0,
ZCTA5 10128,,,,,,,6456.0,17157.0,19034.0,
ZCTA5 10152,,,,,,,0.0,0.0,0.0,
ZCTA5 10153,,,,,,,0.0,0.0,0.0,
ZCTA5 10154,,,,,,,0.0,0.0,0.0,
ZCTA5 10162,,,,,,,64.0,561.0,418.0,
ZCTA5 10165,,,,,,,0.0,0.0,0.0,
ZCTA5 10167,,,,,,,0.0,0.0,0.0,
ZCTA5 10168,,,,,,,0.0,0.0,0.0,
ZCTA5 10169,,,,,,,0.0,0.0,0.0,
ZCTA5 10170,,,,,,,0.0,0.0,0.0,
ZCTA5 10171,,,,,,,0.0,0.0,0.0,
ZCTA5 10172,,,,,,,0.0,0.0,0.0,
ZCTA5 10173,,,,,,,0.0,0.0,0.0,
ZCTA5 10174,,,,,,,0.0,0.0,0.0,
ZCTA5 10177,,,,,,,0.0,0.0,0.0,
ZCTA5 10199,,,,,,,0.0,0.0,0.0,
ZCTA5 10271,,,,,,,0.0,0.0,0.0,
ZCTA5 10278,,,,,,,0.0,0.0,0.0,
ZCTA5 10279,,,,,,,0.0,0.0,0.0,
ZCTA5 10280,,,,,,,1462.0,2558.0,2718.0,
ZCTA5 10282,,,,,,,1555.0,1409.0,1475.0,
ZCTA5 10301,,,,,,,4346.0,4660.0,3605.0,
ZCTA5 10302,,,,,,,2942.0,1385.0,751.0,
ZCTA5 10303,,,,,,,2826.0,2032.0,980.0,
ZCTA5 10304,,,,,,,6510.0,4491.0,3188.0,
ZCTA5 10305,,,,,,,4722.0,5237.0,3070.0,
ZCTA5 10306,,,,,,,3421.0,6799.0,4193.0,
ZCTA5 10307,,,,,,,324.0,1665.0,1246.0,
ZCTA5 10308,,,,,,,749.0,3539.0,2392.0,
ZCTA5 10309,,,,,,,924.0,3458.0,2522.0,
ZCTA5 10310,,,,,,,2337.0,2644.0,2119.0,
ZCTA5 10311,,,,,,,0.0,0.0,0.0,
ZCTA5 10312,,,,,,,1551.0,7508.0,4890.0,
ZCTA5 10314,,,,,,,5676.0,11087.0,7267.0,
ZCTA5 10451,,,,,,,7989.0,2372.0,1247.0,
ZCTA5 10452,,,,,,,20641.0,2655.0,1232.0,
ZCTA5 10453,,,,,,,20838.0,3498.0,1592.0,
ZCTA5 10454,,,,,,,7628.0,1485.0,538.0,
ZCTA5 10455,,,,,,,8586.0,1612.0,529.0,
ZCTA5 10456,,,,,,,18312.0,3499.0,1159.0,
ZCTA5 10457,,,,,,,15073.0,2721.0,1440.0,
ZCTA5 10458,,,,,,,16893.0,3730.0,1380.0,
ZCTA5 10459,,,,,,,7656.0,1753.0,743.0,
ZCTA5 10460,,,,,,,10709.0,2690.0,725.0,
ZCTA5 10461,,,,,,,6751.0,5590.0,3438.0,
ZCTA5 10462,,,,,,,12345.0,6834.0,4163.0,
ZCTA5 10463,,,,,,,9338.0,8693.0,9512.0,
ZCTA5 10464,,,,,,,159.0,479.0,702.0,
ZCTA5 10465,,,,,,,1942.0,4266.0,2964.0,
ZCTA5 10466,,,,,,,11868.0,6435.0,3472.0,
ZCTA5 10467,,,,,,,18605.0,7746.0,3230.0,
ZCTA5 10468,,,,,,,20072.0,5130.0,2334.0,
ZCTA5 10469,,,,,,,10039.0,7130.0,4062.0,
ZCTA5 10470,,,,,,,2165.0,1791.0,1025.0,
ZCTA5 10471,,,,,,,1829.0,3818.0,4682.0,
ZCTA5 10472,,,,,,,16390.0,3329.0,1069.0,
ZCTA5 10473,,,,,,,4908.0,4314.0,1874.0,
ZCTA5 10474,,,,,,,2383.0,438.0,144.0,
ZCTA5 10475,,,,,,,2575.0,4602.0,2728.0,
ZCTA5 10501,,,,,,,7.0,199.0,235.0,
ZCTA5 10502,,,,,,,305.0,972.0,1452.0,
ZCTA5 10503,,,,,,,0.0,11.0,127.0,
ZCTA5 10504,,,,,,,246.0,1595.0,1797.0,
ZCTA5 10505,,,,,,,48.0,92.0,88.0,
ZCTA5 10506,,,,,,,146.0,1315.0,1088.0,
ZCTA5 10507,,,,,,,736.0,867.0,805.0,
ZCTA5 10509,,,,,,,1510.0,2974.0,2235.0,
ZCTA5 10510,,,,,,,303.0,1877.0,3018.0,
ZCTA5 10511,,,,,,,301.0,368.0,170.0,
ZCTA5 10512,,,,,,,737.0,3558.0,2673.0,
ZCTA5 10514,,,,,,,776.0,2587.0,3705.0,
ZCTA5 10516,,,,,,,201.0,953.0,816.0,
