NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
06390,296,52.6,296,151333.0,0,51,
10001,22767,34.4,11799,81445.0,3531,6061,1865.0
10002,79894,40.9,16774,32966.0,13873,12721,863.0
10003,57068,32.2,41392,97524.0,6595,17958,1955.0
10004,3024,33.0,2109,123409.0,402,984,
10005,7570,28.8,5365,121840.0,1650,2745,
10006,2950,31.0,2029,121316.0,464,1124,
10007,6748,34.9,4263,,1285,1915,
10009,61806,36.2,30802,61154.0,7062,17162,1470.0
10010,30708,35.7,20080,100763.0,3379,9567,
10011,52941,39.6,38360,104974.0,4883,17407,1933.0
10012,24846,34.5,17922,95577.0,3602,8209,1919.0
10013,26937,37.1,13955,97228.0,3796,6916,1462.0
10014,31835,37.0,26843,109557.0,3152,13211,
10016,50112,33.1,33344,103960.0,6937,16650,
10017,16278,37.3,10798,102165.0,3072,6006,
10018,8062,30.6,3521,100298.0,2180,2573,
10019,38752,39.7,24212,90174.0,6346,12457,
10021,42142,40.3,33744,109398.0,4125,14046,1876.0
10022,29699,46.0,23932,115604.0,2672,10926,
10023,60762,41.8,46622,111265.0,6797,16270,
10024,59249,41.5,43565,109784.0,6049,15878,1828.0
10025,97373,39.3,54332,71865.0,12034,21791,1438.0
10026,38372,34.3,7245,47318.0,4809,5750,944.0
10027,63057,30.4,14876,40013.0,10317,7972,978.0
10028,46169,39.7,39020,115485.0,3817,15167,
10029,77857,33.5,11772,31446.0,12444,9570,885.0
10030,29530,34.0,2174,32561.0,3547,3531,884.0
10031,58912,33.4,8299,38338.0,12429,7278,1098.0
10032,59069,34.6,7033,35979.0,14515,7688,1091.0
10033,60520,35.9,13171,44595.0,15811,7897,1225.0
10034,42672,36.4,6769,42522.0,12061,5376,1144.0
10035,34760,34.7,3748,26764.0,5769,3399,753.0
10036,24127,37.5,13672,70625.0,4869,7747,1853.0
10037,18041,37.1,1091,37000.0,1592,2503,995.0
10038,20997,33.6,8769,73988.0,3336,5322,1994.0
10039,25952,32.9,1592,33132.0,3413,2718,819.0
10040,45278,37.6,8910,46944.0,11680,6564,1179.0
10044,12050,39.4,5332,95259.0,4275,1955,
10065,31761,38.8,26175,110163.0,3738,10162,
10069,5523,35.8,4090,172926.0,844,1921,
10075,24377,42.6,20391,104583.0,2058,8730,1965.0
10110,1,,1,,0,0,
10128,62447,38.7,45428,100649.0,7012,19531,1901.0
10162,1252,36.2,1013,193238.0,230,481,
10280,8817,37.1,5603,143636.0,1480,2824,
10282,5903,33.0,4191,245556.0,1145,1740,
10301,39367,35.3,15892,60278.0,4328,4513,1190.0
10302,18043,33.3,5903,54150.0,2937,1776,1157.0
10303,24348,32.8,4445,52826.0,2756,2280,920.0
10304,41864,35.0,14347,53762.0,5783,4646,1096.0
10305,41471,40.1,28295,70763.0,5095,5818,1181.0
10306,54888,42.0,42754,79152.0,2753,7058,1200.0
10307,15006,39.0,13011,86688.0,215,1921,1218.0
10308,29805,42.3,25229,85814.0,1316,3749,1249.0
10309,33382,38.6,27699,87536.0,1322,4398,1240.0
10310,24719,33.6,9776,64724.0,2491,2465,1096.0
10312,61105,41.2,51471,87946.0,1628,9149,1280.0
10314,87524,41.5,59334,78962.0,5642,11698,1195.0
10451,47818,31.6,872,27197.0,8747,2887,916.0
10452,75252,30.4,935,24965.0,18383,3554,1032.0
10453,79002,31.0,949,24741.0,20030,3600,1017.0
10454,38751,28.6,590,19536.0,7092,1465,639.0
10455,39951,30.0,582,22996.0,7994,1662,785.0
10456,91737,29.7,1177,22962.0,19515,4415,906.0
10457,71015,29.4,1386,24883.0,16677,3205,1050.0
10458,76276,29.4,8821,24829.0,18514,3665,1101.0
10459,48269,28.7,579,23400.0,9336,2129,917.0
10460,58676,30.0,1128,23289.0,11978,2814,960.0
10461,52435,37.1,21138,52230.0,6905,5980,1233.0
10462,76114,35.0,10027,45234.0,13015,7762,1190.0
10463,71238,38.0,23497,55354.0,8727,9331,1177.0
10464,4532,48.4,3440,75696.0,119,643,1338.0
10465,46360,39.3,23299,68831.0,2456,4472,1237.0
10466,69657,36.1,2258,42587.0,11385,6758,1102.0
10467,99251,33.1,9166,35852.0,22000,7843,1127.0
10468,72683,31.9,2686,33585.0,18663,5138,1129.0
10469,72241,37.0,10045,57680.0,9780,7318,1267.0
10470,14880,36.0,6229,58330.0,2477,1852,1253.0
10471,21935,43.7,13197,73684.0,1622,4035,1401.0
10472,69659,31.3,1486,30541.0,18452,3761,1058.0
10473,59948,36.5,987,36729.0,4974,4732,860.0
10474,12223,29.9,159,26460.0,2165,611,985.0
10475,44582,46.2,3872,45886.0,3748,5224,939.0
10501,1073,47.6,965,141500.0,16,246,
10502,5396,45.4,3374,142679.0,386,1093,1596.0
10503,172,58.3,144,139911.0,0,27,
10504,7885,41.2,7013,200000.0,172,1812,
10505,785,37.8,598,178333.0,0,80,942.0
10506,5303,43.6,4731,185372.0,189,1360,1442.0
10507,7039,36.1,3923,70684.0,1052,849,1413.0
10509,19605,41.3,14818,90959.0,1758,2810,1318.0
10510,10391,43.7,7606,153613.0,279,2086,1528.0
10511,2349,44.5,1747,93977.0,137,349,1471.0
10512,25467,43.3,20928,92067.0,1208,3353,1144.0
10514,12915,40.4,11015,207733.0,682,2920,
10516,5327,44.4,4691,84966.0,212,1271,1332.0
10517,756,31.9,389,91481.0,94,96,1741.0
10518,1505,48.5,1452,214688.0,16,392,1486.0
10519,181,49.7,181,126089.0,0,32,
10520,13107,46.8,9807,98552.0,1243,2786,1293.0
10522,11001,41.8,8131,113062.0,765,1955,1597.0
10523,8563,34.9,2808,87042.0,1498,1338,1921.0
10524,4402,49.9,3866,118409.0,159,830,1931.0
10526,1714,40.9,1586,109821.0,48,383,1235.0
10527,1156,43.9,1099,196300.0,1,233,
10528,12720,38.9,9125,106912.0,2303,2517,1916.0
10530,12431,48.4,8377,97682.0,1175,2884,1657.0
10532,4906,43.9,4258,109815.0,152,879,1665.0
10533,7484,46.1,5688,139359.0,374,1621,1461.0
10535,573,43.6,419,56860.0,0,151,1458.0
10536,10725,44.9,9155,155658.0,534,2434,1988.0
10537,1952,40.4,1693,80380.0,116,351,1099.0
10538,16803,41.4,14675,158258.0,1529,4533,1598.0
10541,26355,40.9,21891,108082.0,1317,3974,1272.0
10543,20250,42.1,13967,88942.0,2475,3544,1605.0
10545,135,77.9,118,,4,23,
10546,1149,45.1,721,119091.0,35,225,
10547,6913,43.5,4608,84925.0,430,1030,1277.0
10548,3214,49.3,2567,83167.0,96,556,1390.0
10549,16165,39.7,9834,88508.0,2838,3008,1385.0
10550,37421,33.3,3082,40492.0,7561,2470,1160.0
10552,20339,42.3,8441,68530.0,2553,3468,1253.0
10553,10032,40.5,342,64295.0,1319,1145,1307.0
10560,4742,50.7,4135,131500.0,140,1294,1996.0
10562,31453,38.4,13138,75848.0,7029,4595,1424.0
10566,23875,38.5,8118,51961.0,4455,2508,1297.0
10567,20197,43.7,14497,108446.0,937,3046,1498.0
10570,12592,41.0,10270,125488.0,600,2600,1474.0
10573,38656,37.7,16454,70532.0,10158,4883,1448.0
10576,4842,49.4,4306,170278.0,163,1008,
10577,6269,20.3,4415,209350.0,517,590,
10578,589,50.5,476,115114.0,77,124,
10579,9264,44.8,8005,107066.0,157,1582,1235.0
10580,17322,41.6,14910,158281.0,1452,4265,1906.0
10583,39510,43.0,31185,169583.0,3527,7381,1917.0
10588,2518,47.5,1630,72958.0,24,500,1099.0
10589,9376,53.1,8451,103721.0,213,2100,
10590,7026,44.4,6083,129632.0,206,1808,1964.0
10591,23037,40.1,12807,78227.0,3450,4037,1350.0
10594,5201,38.3,4406,122583.0,281,741,1515.0
10595,8577,38.0,5829,107522.0,550,1252,1602.0
10596,1629,38.0,1195,54773.0,151,51,1282.0
10597,1128,46.2,1016,,62,256,
10598,29699,44.0,24707,108093.0,1010,5156,1404.0
10601,11524,37.5,4751,70477.0,2360,2144,1532.0
10603,17924,37.7,7204,92419.0,2181,2680,1538.0
10604,11397,40.9,6844,81814.0,2527,1690,1729.0
