NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price
06390,303,51.0,297,152652.0,6,39,1388.0
10001,23332,35.8,12258,85168.0,3787,6249,2114.0
10002,78096,41.1,16290,35594.0,12731,13807,919.0
10003,56767,32.2,41137,100791.0,7075,17415,2117.0
10004,3044,33.9,1991,123056.0,462,1119,2911.0
10005,8710,29.5,6064,130116.0,1412,3053,3005.0
10006,3277,31.0,2018,125364.0,514,1336,2847.0
10007,6740,35.9,4372,234958.0,1188,1814,3339.0
10009,59799,36.3,30197,60788.0,6833,17282,1554.0
10010,32854,35.0,21031,110142.0,3636,10008,2442.0
10011,50404,39.9,36461,114134.0,5692,16708,2029.0
10012,24536,34.1,17492,101815.0,3931,8327,2128.0
10013,28211,36.9,14596,104167.0,4186,7617,1663.0
10014,31464,36.6,26451,119026.0,3505,13539,2337.0
10016,50444,33.3,33021,102703.0,6403,17931,2440.0
10017,16533,37.7,10890,106795.0,2647,6182,2214.0
10018,9684,31.2,4507,105479.0,2751,3127,2849.0
10019,39505,39.2,23553,94477.0,6087,13002,2211.0
10021,45261,38.4,35480,115681.0,4985,14782,1961.0
10022,30262,45.9,24139,123693.0,2058,11205,2386.0
10023,60307,42.5,44699,115080.0,6832,15517,2256.0
10024,58516,43.0,43934,118594.0,5596,16221,1947.0
10025,94717,40.6,52676,80025.0,11793,21323,1450.0
10026,38540,34.4,7484,52082.0,4679,5956,1045.0
10027,64120,30.6,15902,42754.0,10446,8542,1063.0
10028,48205,39.6,39099,111302.0,4371,16773,2187.0
10029,79411,33.6,13666,32500.0,10344,11029,911.0
10030,30358,34.1,2692,33720.0,3547,3727,917.0
10031,60778,34.4,9577,41848.0,12879,7740,1174.0
10032,63189,34.2,7850,40054.0,14910,9163,1131.0
10033,59353,35.4,13475,46349.0,14045,8766,1294.0
10034,43951,35.7,7942,45643.0,10755,5091,1232.0
10035,34187,35.9,3524,26893.0,5692,3479,758.0
10036,25987,36.6,14382,83812.0,5190,9675,2053.0
10037,20112,34.9,1159,39463.0,1732,3044,1068.0
10038,22300,34.6,9519,82910.0,3502,5921,2185.0
10039,27471,32.3,1683,32257.0,3589,3046,882.0
10040,45033,37.7,9054,45811.0,11262,6487,1235.0
10044,11731,39.5,5123,86483.0,4516,2128,2181.0
10065,30001,39.5,24523,118310.0,3624,9923,2251.0
10069,5231,34.1,3764,155702.0,990,1516,3064.0
10075,23353,46.3,18996,114481.0,2743,7376,2037.0
10128,63006,38.9,44596,103817.0,7229,20221,2056.0
10162,1253,41.3,1069,178822.0,201,312,2735.0
10280,9845,37.5,6661,146875.0,1604,3146,2936.0
10282,5635,34.5,3683,,1103,1667,2974.0
10301,39519,36.9,15776,55700.0,4114,4798,1186.0
10302,17758,33.6,5829,55864.0,2560,1710,1198.0
10303,24562,32.5,4591,55198.0,2978,2579,972.0
10304,42054,36.5,15239,53843.0,5204,4649,1072.0
10305,41533,39.6,27152,74063.0,4271,5703,1195.0
10306,55031,42.3,42988,78745.0,3155,7102,1232.0
10307,15275,38.0,13440,77278.0,253,2032,1175.0
