NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
ZCTA5 06390,,,,0.0,55.0,
ZCTA5 10001,,,,741.0,5705.0,
ZCTA5 10002,,,,5528.0,11687.0,
ZCTA5 10003,,,,1289.0,16443.0,
ZCTA5 10004,,,,66.0,932.0,
ZCTA5 10005,,,,34.0,1652.0,
ZCTA5 10006,,,,56.0,971.0,
ZCTA5 10007,,,,143.0,1688.0,
ZCTA5 10009,,,,4499.0,15946.0,
ZCTA5 10010,,,,1125.0,9215.0,
ZCTA5 10011,,,,1326.0,16756.0,
ZCTA5 10012,,,,449.0,8289.0,
ZCTA5 10013,,,,320.0,5555.0,
ZCTA5 10014,,,,657.0,11546.0,
ZCTA5 10016,,,,885.0,18284.0,
ZCTA5 10017,,,,227.0,5729.0,
ZCTA5 10018,,,,172.0,1323.0,
ZCTA5 10019,,,,1285.0,12489.0,
ZCTA5 10020,,,,0.0,0.0,
ZCTA5 10021,,,,649.0,13592.0,
ZCTA5 10022,,,,468.0,10446.0,
ZCTA5 10023,,,,1795.0,16170.0,
ZCTA5 10024,,,,1586.0,15922.0,
ZCTA5 10025,,,,3263.0,20329.0,
ZCTA5 10026,,,,967.0,5307.0,
ZCTA5 10027,,,,2120.0,7020.0,
ZCTA5 10028,,,,818.0,13777.0,
ZCTA5 10029,,,,7715.0,7052.0,
ZCTA5 10030,,,,620.0,3204.0,
ZCTA5 10031,,,,2196.0,6957.0,
ZCTA5 10032,,,,2215.0,5453.0,
ZCTA5 10033,,,,2344.0,6887.0,
ZCTA5 10034,,,,1654.0,5758.0,
ZCTA5 10035,,,,3233.0,3094.0,
ZCTA5 10036,,,,695.0,6651.0,
ZCTA5 10037,,,,225.0,2496.0,
ZCTA5 10038,,,,671.0,3683.0,
ZCTA5 10039,,,,834.0,2455.0,
ZCTA5 10040,,,,1363.0,5985.0,
ZCTA5 10044,,,,260.0,1810.0,
ZCTA5 10065,,,,699.0,10272.0,
ZCTA5 10069,,,,72.0,2057.0,
ZCTA5 10075,,,,416.0,8774.0,
ZCTA5 10103,,,,0.0,0.0,
ZCTA5 10110,,,,0.0,0.0,
ZCTA5 10111,,,,0.0,0.0,
ZCTA5 10112,,,,0.0,0.0,
ZCTA5 10115,,,,0.0,0.0,
ZCTA5 10119,,,,0.0,0.0,
ZCTA5 10128,,,,1885.0,17157.0,
ZCTA5 10152,,,,0.0,0.0,
ZCTA5 10153,,,,0.0,0.0,
ZCTA5 10154,,,,0.0,0.0,
ZCTA5 10162,,,,49.0,561.0,
ZCTA5 10165,,,,0.0,0.0,
ZCTA5 10167,,,,0.0,0.0,
ZCTA5 10168,,,,0.0,0.0,
ZCTA5 10169,,,,0.0,0.0,
ZCTA5 10170,,,,0.0,0.0,
ZCTA5 10171,,,,0.0,0.0,
ZCTA5 10172,,,,0.0,0.0,
ZCTA5 10173,,,,0.0,0.0,
ZCTA5 10174,,,,0.0,0.0,
ZCTA5 10177,,,,0.0,0.0,
ZCTA5 10199,,,,0.0,0.0,
ZCTA5 10271,,,,0.0,0.0,
ZCTA5 10278,,,,0.0,0.0,
ZCTA5 10279,,,,0.0,0.0,
ZCTA5 10280,,,,128.0,2558.0,
ZCTA5 10282,,,,102.0,1409.0,
ZCTA5 10301,,,,1034.0,4660.0,
ZCTA5 10302,,,,467.0,1385.0,
ZCTA5 10303,,,,1415.0,2032.0,
ZCTA5 10304,,,,1404.0,4491.0,
ZCTA5 10305,,,,1146.0,5237.0,
ZCTA5 10306,,,,826.0,6799.0,
ZCTA5 10307,,,,91.0,1665.0,
ZCTA5 10308,,,,356.0,3539.0,
ZCTA5 10309,,,,305.0,3458.0,
ZCTA5 10310,,,,562.0,2644.0,
ZCTA5 10311,,,,0.0,0.0,
ZCTA5 10312,,,,748.0,7508.0,
ZCTA5 10314,,,,1426.0,11087.0,
ZCTA5 10451,,,,4317.0,2372.0,
ZCTA5 10452,,,,5671.0,2655.0,
ZCTA5 10453,,,,5753.0,3498.0,
ZCTA5 10454,,,,5352.0,1485.0,
ZCTA5 10455,,,,5303.0,1612.0,
ZCTA5 10456,,,,7704.0,3499.0,
ZCTA5 10457,,,,6122.0,2721.0,
