NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price,white_non-hispanic_percent,foreign_born_not_a_us_citizen_percent,bachelors_percent
10001,23537,35.6,12120,86801.0,3729,5932,1989.0,0.5149339338063474,0.1584314058716064,0.25202872073756216
10002,80736,40.8,16105,33726.0,12986,14072,882.0,0.19947730875941339,0.16084522393975426,0.17429647245342847
10003,57112,32.1,41311,98151.0,7184,17386,2030.0,0.7233330998739319,0.12578792547975906,0.3044193864686931
10004,3221,33.1,2091,119691.0,477,1118,2851.0,0.6491772741384663,0.14809065507606334,0.3470971747904378
10005,8131,29.4,5820,124194.0,1571,3016,2918.0,0.7157791169597836,0.1932111671381134,0.37092608535235516
10006,3110,31.4,2137,123691.0,515,1136,2824.0,0.6871382636655948,0.16559485530546625,0.3652733118971061
10007,6876,35.4,4561,91390.5,1193,2029,3423.0,0.6633216986620128,0.1735020360674811,0.2950843513670739
10009,60865,37.0,29762,59090.0,6835,17256,1485.0,0.48898381664339113,0.1122977080423889,0.28351269202333035
10010,31447,34.6,20536,101718.0,3712,9702,2295.0,0.653035265685121,0.11803987661780138,0.30851909562120394
10011,52349,39.5,37860,109818.0,4982,17616,2000.0,0.7232229842021816,0.09516896215782536,0.33651072608836846
10012,24163,34.2,17198,100859.0,3421,8401,2027.0,0.7117493688697596,0.14158010180855027,0.3476803377064106
10013,27415,36.9,13840,96667.0,4443,6909,1512.0,0.504833120554441,0.16206456319533102,0.252015320080248
10014,30727,37.0,25623,113973.0,3354,12945,2281.0,0.8338920167930485,0.10915481498356494,0.42129072151527974
10016,50641,33.4,33824,104826.0,6950,17587,2327.0,0.6679173002112913,0.13724057581801308,0.3472877707786181
10017,16472,37.4,11015,106421.0,2851,6450,2218.0,0.6687105390966489,0.17308159300631373,0.39157357940747933
10018,9168,30.7,4264,105500.0,2490,3104,2784.0,0.4650959860383944,0.27159685863874344,0.33856893542757416
10019,38830,39.2,23844,94022.0,6072,12665,2169.0,0.6140612928148339,0.15637393767705382,0.32616533608035025
10021,43573,39.5,34577,115076.0,4763,13842,1913.0,0.7935418722603447,0.10931081174121589,0.3176737888141739
10022,30607,45.5,24719,126378.0,2487,11314,2259.0,0.8076257065377201,0.08125592184794328,0.36965400071878984
10023,60586,42.1,45889,111478.0,7113,16210,2173.0,0.7574192057571056,0.11740336051232958,0.2675535602284356
10024,58391,42.5,42649,113839.0,5900,15920,1849.0,0.7304036580979946,0.10104296895069445,0.2726447568974671
10025,96068,40.3,53576,74065.0,12038,20864,1428.0,0.5576883041179165,0.1253070741558063,0.21717949785568555
10026,38310,34.2,7457,47264.0,4719,5927,992.0,0.19464891673192378,0.12317932654659358,0.1547115635604281
10027,64413,30.2,15173,40782.0,10851,8015,1026.0,0.2355580395261826,0.16845978296306646,0.12443140359865244
10028,46883,39.6,39637,114939.0,3597,15912,2081.0,0.8454450440458162,0.07672290595738328,0.3393980760616855
10029,79251,33.3,12047,31350.0,11753,10304,886.0,0.15201070018043936,0.14830096781113172,0.13001728684811548
10030,29209,34.1,2628,33196.0,3761,3588,905.0,0.08997226882125373,0.12876168304289773,0.12283885103906331
10031,59244,33.8,8940,39774.0,13052,7452,1150.0,0.1509013570994531,0.22030922962662886,0.12578488960907433
10032,62685,34.2,7065,37280.0,14896,8048,1109.0,0.11270638908829864,0.23763260748185372,0.128387971604052
10033,59844,35.8,13372,44933.0,14948,8422,1240.0,0.2234476305059822,0.24978276853151526,0.14073257135218234
10034,43405,35.5,7092,42581.0,11142,5533,1159.0,0.16339131436470453,0.2566985370349038,0.1274737933417809
10035,33920,35.2,3539,27424.0,5613,3195,770.0,0.10433372641509434,0.16547759433962264,0.09419221698113207
10036,25799,37.0,14028,75966.0,5051,9119,1965.0,0.5437420055040894,0.1957827822783829,0.3534633125314935
10037,18777,36.1,1135,35491.0,1555,2868,1047.0,0.06044629067476168,0.08281408105661181,0.15274005432177665
10038,21464,33.6,9348,76379.0,3200,6063,2051.0,0.43551994036526276,0.14908684308609765,0.2824729780096906
10039,26697,32.4,1531,33558.0,3617,2991,859.0,0.05734726748323782,0.13548338764655204,0.1120350601191145
10040,44378,37.8,8745,46200.0,11533,6526,1228.0,0.19705710036504576,0.2598810221280815,0.1470548469962594
10044,11783,40.9,5079,91383.0,4445,1927,2145.0,0.43104472545192224,0.3772383942968684,0.16354069422048714
10065,30237,38.7,24701,112869.0,3849,10205,2143.0,0.8169130535436716,0.12729437444190891,0.33750041340080034
10069,5526,34.6,4245,163750.0,786,1914,3075.0,0.7681867535287731,0.14223669923995658,0.3463626492942454
10075,25756,44.1,21576,111691.0,2180,8736,1999.0,0.8377077185898432,0.08464047212300047,0.3391831029662991
10128,61927,39.1,44946,100200.0,7246,19390,1962.0,0.725790043115281,0.117008736092496,0.3131105979621167
10162,1289,44.4,1243,193510.0,198,406,3009.0,0.9643134212567882,0.15360744763382467,0.31497284716834756
10280,9552,37.2,6147,145432.0,1527,3225,2890.0,0.6435301507537688,0.15986180904522612,0.3376256281407035
10282,5730,33.0,3851,100018.5,1155,1660,3084.0,0.6720767888307155,0.20157068062827224,0.28970331588132636
10301,39209,35.8,16040,54605.0,3928,4616,1168.0,0.4090897498023413,0.10018108087428906,0.1177280726363845
10302,18286,32.9,5592,54170.0,3078,1606,1168.0,0.30580772175434756,0.16832549491414198,0.08782675270698895
10303,23933,32.9,4292,52553.0,2903,2334,958.0,0.1793339740107801,0.12129695399657377,0.09752224961350436
10304,42244,35.6,14883,54106.0,5477,4417,1074.0,0.3523103872739324,0.12965154814884955,0.10455922734589528
10305,41795,39.5,27704,72782.0,4411,5841,1195.0,0.66285440842206,0.10553894006460103,0.13975355903816247
10306,54939,41.9,42467,79686.0,3031,7167,1195.0,0.7729845829010357,0.055170279764830084,0.13045377600611588
10307,15098,38.6,13271,76857.0,201,1820,1203.0,0.8789905947807657,0.013313021592263876,0.12054576765134455
10308,29766,43.3,25720,87174.0,1547,3869,1245.0,0.8640731035409528,0.05197204864610629,0.12998051468117988
10309,33185,39.1,27147,87509.0,1230,4285,1235.0,0.8180503239415399,0.03706493897845412,0.12912460448998042
10310,24394,34.7,9958,68080.0,2160,2806,1061.0,0.4082151348692301,0.08854636385996556,0.11502828564401082
10312,62032,41.5,51502,84584.0,1941,9051,1215.0,0.8302489037915914,0.031290301779726595,0.1459085633221563
10314,87600,41.6,58224,77331.0,5562,11377,1199.0,0.6646575342465754,0.06349315068493151,0.1298744292237443
10451,48188,32.0,1010,26048.0,8479,3329,931.0,0.020959574997924793,0.17595666971030133,0.06908358927533825
10452,75559,30.5,1095,24790.0,18559,4265,1044.0,0.014491986394737887,0.24562262602734286,0.05644595614023478
10453,80081,30.9,940,23095.0,19575,4451,1028.0,0.011738115158402118,0.24444000449544837,0.05558122401068918
10454,39012,28.1,604,20210.0,6826,1402,673.0,0.015482415666974265,0.17497180354762637,0.03593766020711576
10455,41609,30.6,553,23253.0,8749,1984,796.0,0.013290393905164748,0.21026700954120503,0.04768199187675743
10456,91868,29.8,1337,23956.0,18908,4976,927.0,0.014553489789698263,0.2058170418426438,0.054164671049767056
10457,73763,29.6,1420,24750.0,17077,3427,1060.0,0.019250843919038,0.23151173352493798,0.04645960712010087
10458,79974,29.1,9673,27912.0,19115,4381,1121.0,0.12095180933803486,0.23901517993347837,0.05478030359866957
10459,47778,29.1,644,23761.0,9243,2149,920.0,0.0134790070743857,0.1934572397337687,0.04497886056343924
10460,59512,30.7,1492,23209.0,12270,3163,951.0,0.025070574001881972,0.20617690549805082,0.05314894475063853
10461,51820,37.2,18517,51568.0,6693,5728,1244.0,0.3573330760324199,0.12915862601312234,0.11053647240447703
10462,78504,35.3,9758,45760.0,12880,8129,1210.0,0.12429939875675125,0.16406807296443493,0.1035488637521655
