Created Date,Incident Zip,Unique Key
2016,12206,1
2018,10462,21493
2017,11803,5
2014,10158,1
2012,06851,1
2018,11386,2
2010,48093,2
2018,10016,14830
2015,48451-0129,1
2010,75006,2
2011,10155,1
2011,11788,2
2011,10560,1
2015,07920,1
2017,91203,1
2010,75243,1
2015,14052,1
2022,35244,2
2021,10027,26254
2017,10177,10
2014,11452,1
2017,11747,11
2019,11104,6904
2019,11230,25142
2019,11377,20223
2020,10473,17570
2022,10278,172
2022,11421,13268
2018,06066,1
2021,11428,5650
2012,10313,1
2010,10528,2
2017,02767,1
2011,07726,4
2016,11791,3
2011,10105,1
2021,11432,19872
2011,07030,20
2012,11430,489
2011,10012,7032
2012,11226,32734
2011,198580,1
2017,00,1
2010,07311,1
2011,11716,1
2011,1120,1
2011,90060-0578,2
2019,11106,11236
2022,10801,1
2011,89119,1
2011,07300,1
2017,10167,12
2012,21217,1
2013,N/A,109
2017,10028,8441
2018,48195,1
2013,10038,4149
2012,85053,1
2016,07093,5
2016,17108-0988,1
2018,11362,5047
2010,11365,7539
2013,11717,1
2013,75090,1
2010,11779,7
2012,11365,6075
2014,10604,1
2010,11552,5
2022,11223,18383
2018,11106,11391
2014,33634,1
2017,10470,6063
2018,10112,40
2011,11416,5552
2015,11746,2
2016,12344,1
2018,10158,57
2019,11717,1
2012,11206,13174
2019,11433,11080
2012,01581,1
2014,10456,22546
2013,19711,1
2010,60191,1
2012,08053,1
2010,10473,8443
2016,11002,1
2010,11777,1
2011,11005,76
2014,11743,2
2015,19801,1
2014,11368,16212
2013,11572,7
2021,11208,39558
2014,11358,8125
2020,11235,21010
2018,10901,1
2016,11217,14067
2015,11418,9980
2022,11417,10087
2022,10175,4
2015,33409,1
2020,11415,5871
2018,10176,9
2022,11691,13447
2018,10314,27073
2015,02459,1
2012,28272,1
2010,60440-7249,1
2014,11238,19656
2016,11459,1
2010,10550,9
2018,43614,1
2017,10456,26409
2018,46168,1
2012,012345,1
2018,11241,11
2012,93792,1
2013,07087,3
2010,10427,1
2021,10033,24827
2011,59403-1013,1
2016,55555,1
2013,14226,2
2018,11201,20296
2014,11365,6871
2011,11206,14310
2014,07111,1
2013,18773,1
2019,14614,2
2012,11767,2
2018,10012,11028
2010,80237,4
2017,10301,12904
2015,45242,1
2018,74020,1
2013,10463,16630
2017,46219,2
2012,1305,1
2017,007114,1
2010,14450 0457,1
2011,11432,11835
2015,10459,13651
2015,10022,8973
2010,11749-1500,1
2017,10178,14
2018,11356,9121
2013,07001,1
2019,11021,6
2013,10314,14209
2016,14231-9054,1
2013,00083,87
2011,10309,6766
2012,13615,1
2010,11213,22341
2013,10005,1882
2013,43218,3
2013,61702-3517,3
2015,87002,1
2016,12345,2
2013,11215,14674
2016,10103,35
2013,00641,1
2012,48090,2
2015,11436,4616
2019,07666,2
2017,10590,1
2010,80231-5088,1
2018,08837,1
2010,07101,1
2020,11372,16844
2018,90066,1
2012,98188,1
2019,11581,6
2013,63179-0047,1
2016,10024,13322
2018,38655,1
2014,10013,10203
2014,11980,1
2013,0000,3
2013,18508,1
2014,10162,36
2022,11209,21891
2014,11207,26931
2016,08831,1
2015,11231,9206
2011,10039,5699
2020,10110,11
2011,10962,2
2018,38114,1
2016,08876,1
2022,10466,113554
2010,10470,4484
2021,10169,1013
2015,10583,8
2019,10033,20148
2018,06880,1
2013,43220,1
2017,00083,36
2015,84130281,1
2015,12551,1
2010,14203,1
2012,33770,1
2011,111111,1
2022,10177,11
2013,10032,18284
2011,55433,1
2020,11249,13636
2014,11598,9
2012,48195,2
2010,63179,1
2017,07024,6
2011,17111,4
2018,10162,32
2020,10168,41
2010,07853,1
2019,10462,19756
2012,34652,1
2017,16335,1
2011,11379,7291
2012,77043,2
2013,56303,1
2010,11776,5
2010,43126,1
2012,14221,1
2012,07430,2
2020,10044,388
2010,14240-0846,1
2010,11797-2016,1
2015,10805,3
2020,10001,12454
2021,10112,17
2016,11433,10180
2011,07020,4
2016,11575,2
2015,37214,1
2016,11201,16782
2010,10123,1
2016,00877,1
2021,10472,30766
2018,10151,46
2013,10101,1
2011,11577,2
2012,10467,29221
2014,11590,13
2012,32502,1
2014,10024,11791
2012,12212-5368,1
2021,11004,2601
2014,02459,2
2013,11205,8617
2022,10282,540
2016,10169,28
2014,11695,18
2012,10028,5921
2017,10170,17
2011,19044,6
2017,11731,1
2014,10103,23
2012,10069,341
2012,11797-9012,1
2019,11706,1
2014,11746,8
2016,10171,1
2018,08361,1
2011,10475,2668
2021,11101,18907
2017,11434,13928
2012,11557,1
2010,11762,2
2013,77218-9785,1
2012,10032,17757
2012,000,1
2019,11749,3
2013,07003,2
2021,10153,84
2010,11243,25
2012,14304-1745,1
2017,10122,18
2022,10170,7
2022,11238,22945
2014,19850,1
2022,11416,7888
2015,07029,1
2010,10033-0238,1
2019,11012,1
2012,10462,16654
2020,11379,12705
2018,10705,6
2013,11697,1073
2019,11371,62
2014,18966,1
2018,07302,16
2014,1143,1
2012,11787,2
2012,44720,1
2011,11746,2
2017,10401,1
2012,60522-9724,1
2011,57117,1
2016,08861,1
2020,11228,12618
2018,11207,34186
2010,75081,1
2021,10006,1043
2012,11359,11
2022,11218,19823
2018,HARRISBURG,1
2019,10467,34179
2016,32255,2
2015,30901,1
2013,07307,1
2018,14303,1
2010,11697,216
2011,56303,1
2015,11432,14319
2016,07072,1
2022,10165,31
2014,11693,2904
2015,10469,15127
2012,37660,1
2014,11720,3
2017,11385,35520
2010,17109-0988,1
2010,10026,8420
2015,11373-1426,1
2018,06901,3
2014,43216,1
2012,11576,5
2010,23541,11
2016,10303,6239
2012,92723,1
2015,10027,18288
2013,1404,1
2010,11735-3931,2
2017,35244,1
2020,10278,44
2012,33614,1
2018,17106,2
2016,11432,13390
2012,11702,1
2014,11772-3518,1
2015,11716,1
2018,11224,8228
2014,07512,1
2021,10701,1
2017,57709,1
2022,10035,17461
2011,11692,3902
2017,11507,2
2011,55101,1
2015,07646,2
2015,10129,37
2019,10106,35
2010,0000,11
2017,30010,2
2021,10118,53
2019,08542,1
2016,29601,2
2010,07666,3
2012,11418,7516
2011,11518,1
2022,11234,20529
2020,12345,46
2015,11580,17
2017,11219,17048
2010,33162,1
2014,11024,1
2016,10001,15238
2018,10120,108
2015,11797-9004,1
2011,11566,2
2015,07193,1
2013,14231,1
2013,07102,5
2011,1106,1
